daily_record_tag_id,daily_record_id,tag_id
137,369,1
138,369,6
139,369,7
140,377,1
141,377,6
142,377,7
143,378,1
144,378,6
145,378,7
146,386,1
147,386,6
148,386,7
149,395,1
150,395,6
151,395,7
152,405,6
153,405,7
154,426,6
155,426,7
156,430,1
157,430,6
158,430,7
159,446,1
160,446,6
161,446,7
162,454,1
163,454,6
164,454,7
165,455,1
166,455,6
167,455,7
168,463,1
169,463,6
170,463,7
171,472,1
172,472,6
173,472,7
174,482,6
175,482,7
176,503,6
177,503,7
178,507,1
179,507,6
180,507,7
181,512,1
182,512,6
183,512,7
184,514,6
185,514,7
186,515,1
187,515,6
188,515,7
189,516,6
190,516,7
191,517,6
192,517,7
193,518,1
194,518,6
195,518,7
196,519,1
197,519,6
198,519,7
199,521,1
200,521,6
201,521,7
202,524,1
203,524,6
204,524,7
205,525,6
206,525,7
207,526,6
208,526,7
209,528,1
210,528,6
211,528,7
212,529,6
213,529,7
214,530,1
215,530,6
216,530,7
217,531,1
218,531,6
219,531,7
220,532,1
221,532,6
222,532,7
223,533,1
224,533,6
225,533,7
226,535,1
227,535,6
228,535,7
229,536,6
230,536,7
231,538,6
232,538,7
233,539,1
234,539,6
235,539,7
236,543,1
237,543,6
238,543,7
239,544,1
240,544,6
241,544,7
242,546,6
243,546,7
244,547,1
245,547,6
246,547,7
247,549,1
248,549,6
249,549,7
250,550,1
251,550,6
252,550,7
253,551,1
254,551,6
255,551,7
256,552,1
257,552,6
258,552,7
259,553,1
260,553,6
261,553,7
262,554,1
263,554,6
264,554,7
265,556,6
266,556,7
267,557,1
268,557,6
269,557,7
270,559,1
271,559,6
272,559,7
273,560,1
274,560,6
275,560,7
276,561,1
277,561,6
278,561,7
279,562,1
280,562,6
281,562,7
282,563,1
283,563,6
284,563,7
285,564,1
286,564,6
287,564,7
288,566,6
289,566,7
290,567,1
291,567,6
292,567,7
293,569,1
294,569,6
295,569,7
296,570,6
297,570,7
298,572,6
299,572,7
300,573,1
301,573,6
302,573,7
303,577,1
304,577,6
305,577,7
306,578,1
307,578,6
308,578,7
309,580,6
310,580,7
311,581,1
312,581,6
313,581,7
314,583,1
315,583,6
316,583,7
317,584,1
318,584,6
319,584,7
320,585,1
321,585,6
322,585,7
323,586,1
324,586,6
325,586,7
326,587,1
327,587,6
328,587,7
329,588,1
330,588,6
331,588,7
332,589,1
333,589,6
334,590,1
335,590,6
336,591,6
337,591,7
338,595,6
339,595,7
340,598,6
341,598,7
342,600,1
343,600,6
344,600,7
345,601,1
346,601,6
347,601,7
348,604,1
349,604,6
350,604,7
351,606,6
352,606,7
353,607,1
354,607,6
355,607,7
356,608,6
357,608,7
358,609,1
359,609,6
360,609,7
361,610,6
362,610,7
363,611,6
364,611,7
365,645,6
366,645,7
367,647,1
368,647,6
369,649,6
370,649,7
371,650,1
372,650,6
373,650,7
374,651,6
375,651,7
376,652,1
377,652,6
378,652,7
379,653,1
380,653,6
381,653,7
382,654,1
383,654,6
384,654,7
385,655,1
386,655,6
387,655,7
388,656,1
389,656,6
390,656,7
391,657,6
392,657,7
393,658,6
394,658,7
395,659,1
396,659,6
397,659,7
398,661,6
399,661,7
400,663,1
401,663,6
402,664,6
403,664,7
404,665,1
405,665,6
406,665,7
407,666,1
408,666,6
409,666,7
410,667,6
411,667,7
412,668,1
413,668,6
414,668,7
415,669,1
416,669,6
417,669,7
418,670,1
419,670,6
420,670,7
421,671,6
422,671,7
423,672,1
424,672,6
425,672,7
426,673,1
427,673,6
428,673,7
429,676,1
430,676,6
431,676,7
432,678,6
433,678,7
434,679,1
435,679,6
436,679,7
437,680,1
438,680,6
439,680,7
440,683,1
441,683,6
442,683,7
443,684,6
444,684,7
445,685,1
446,685,6
447,685,7
448,723,1
449,723,6
450,723,7
451,724,1
452,724,6
453,724,7
454,725,1
455,725,6
456,725,7
457,727,1
458,727,6
459,727,7
460,729,6
461,729,7
462,730,6
463,730,7
464,732,1
465,732,6
466,732,7
467,733,1
468,733,6
469,733,7
470,734,1
471,734,6
472,734,7
473,736,1
474,736,6
475,736,7
476,737,1
477,737,6
478,737,7
479,739,6
480,739,7
481,740,1
482,740,6
483,740,7
484,742,6
485,742,7
486,744,1
487,744,6
488,744,7
489,745,1
490,745,6
491,745,7
492,746,6
493,746,7
494,747,6
495,747,7
496,748,1
497,748,6
498,748,7
499,749,6
500,749,7
501,750,6
502,750,7
503,752,1
504,752,6
505,752,7
506,753,1
507,753,6
508,753,7
509,754,6
510,754,7
511,755,1
512,755,6
513,755,7
514,756,1
515,756,6
516,757,1
517,757,6
518,757,7
519,762,1
520,762,6
521,762,7
522,763,6
523,763,7
524,799,6
525,799,7
526,800,1
527,800,6
528,800,7
529,802,1
530,802,6
531,802,7
532,803,1
533,803,6
534,803,7
535,806,6
536,806,7
537,808,1
538,808,6
539,808,7
540,810,6
541,810,7
542,811,1
543,811,6
544,811,7
545,812,1
546,812,6
547,812,7
548,814,6
549,814,7
550,815,1
551,815,6
552,815,7
553,816,1
554,816,6
555,816,7
556,817,1
557,817,6
558,817,7
559,818,6
560,818,7
561,819,1
562,819,6
563,819,7
564,820,1
565,820,6
566,820,7
567,821,1
568,821,6
569,821,7
570,825,1
571,825,6
572,828,1
573,828,6
574,828,7
575,829,6
576,829,7
577,830,1
578,830,6
579,830,7
580,831,1
581,831,6
582,831,7
583,835,1
584,835,6
585,835,7
586,836,6
587,836,7
588,838,6
589,838,7
590,876,6
591,876,7
592,877,1
593,877,6
594,877,7
595,880,6
596,880,7
597,882,1
598,882,6
599,882,7
600,883,1
601,883,6
602,883,7
603,885,1
604,885,6
605,885,7
606,888,1
607,888,6
608,888,7
609,889,1
610,889,6
611,889,7
612,890,6
613,890,7
614,891,6
615,891,7
616,893,1
617,893,6
618,893,7
619,894,1
620,894,6
621,894,7
622,895,1
623,895,6
624,895,7
625,897,6
626,897,7
627,898,1
628,898,6
629,898,7
630,899,6
631,899,7
632,901,1
633,901,6
634,901,7
635,902,1
636,902,6
637,902,7
638,903,1
639,903,6
640,903,7
641,906,1
642,906,6
643,906,7
644,907,1
645,907,6
646,907,7
647,908,6
648,908,7
649,909,1
650,909,6
651,909,7
652,910,6
653,910,7
654,912,1
655,912,6
656,912,7
657,913,1
658,913,6
659,913,7
660,914,1
661,914,6
662,915,1
663,915,6
664,915,7
665,917,1
666,917,6
667,917,7
668,953,6
669,953,7
670,954,1
671,954,6
672,954,7
673,957,6
674,957,7
675,959,1
676,959,6
677,959,7
678,960,1
679,960,6
680,960,7
681,962,1
682,962,6
683,962,7
684,965,1
685,965,6
686,965,7
687,966,1
688,966,6
689,966,7
690,967,6
691,967,7
692,968,6
693,968,7
694,970,1
695,970,6
696,970,7
697,971,1
698,971,6
699,971,7
700,972,1
701,972,6
702,972,7
703,974,6
704,974,7
705,975,1
706,975,6
707,975,7
708,976,6
709,976,7
710,978,1
711,978,6
712,978,7
713,979,1
714,979,6
715,979,7
716,980,1
717,980,6
718,980,7
719,983,1
720,983,6
721,983,7
722,984,1
723,984,6
724,984,7
725,985,6
726,985,7
727,986,1
728,986,6
729,986,7
730,987,6
731,987,7
732,989,1
733,989,6
734,989,7
735,990,1
736,990,6
737,990,7
738,991,1
739,991,6
740,992,1
741,992,6
742,992,7
743,994,1
744,994,6
745,994,7
746,1030,6
747,1030,7
748,1031,1
749,1031,6
750,1031,7
751,1034,6
752,1034,7
753,1036,1
754,1036,6
755,1036,7
756,1037,1
757,1037,6
758,1037,7
759,1039,1
760,1039,6
761,1039,7
762,1042,1
763,1042,6
764,1042,7
765,1043,1
766,1043,6
767,1043,7
768,1044,6
769,1044,7
770,1045,6
771,1045,7
772,1047,1
773,1047,6
774,1047,7
775,1048,1
776,1048,6
777,1048,7
778,1049,1
779,1049,6
780,1049,7
781,1051,1
782,1051,6
783,1051,7
784,1053,6
785,1053,7
786,1055,1
787,1055,6
788,1055,7
789,1056,6
790,1056,7
791,1058,6
792,1058,7
793,1059,6
794,1059,7
795,1060,1
796,1060,6
797,1060,7
798,1061,6
799,1061,7
800,1062,1
801,1062,6
802,1062,7
803,1065,1
804,1065,6
805,1065,7
806,1066,6
807,1066,7
808,1067,1
809,1067,6
810,1067,7
811,1068,1
812,1068,6
813,1068,7
814,1069,1
815,1069,6
816,1069,7
817,1070,1
818,1070,6
819,1070,7
820,1071,6
821,1071,7
822,1109,1
823,1109,6
824,1109,7
825,1110,1
826,1110,6
827,1110,7
828,1111,1
829,1111,6
830,1112,1
831,1112,6
832,1116,1
833,1116,6
834,1116,7
835,1117,6
836,1117,7
837,1119,6
838,1119,7
839,1120,1
840,1120,6
841,1120,7
842,1122,6
843,1122,7
844,1123,6
845,1123,7
846,1128,1
847,1128,6
848,1128,7
849,1129,1
850,1129,6
851,1129,7
852,1130,1
853,1130,6
854,1130,7
855,1132,6
856,1132,7
857,1133,1
858,1133,6
859,1133,7
860,1134,1
861,1134,6
862,1134,7
863,1139,1
864,1139,6
865,1139,7
866,1140,6
867,1140,7
868,1142,6
869,1142,7
870,1143,1
871,1143,6
872,1143,7
873,1144,1
874,1144,6
875,1144,7
876,1146,6
877,1146,7
878,1148,1
879,1148,6
880,1148,7
881,1184,6
882,1184,7
883,1185,1
884,1185,6
885,1185,7
886,1186,6
887,1186,7
888,1187,1
889,1187,6
890,1187,7
891,1189,1
892,1189,6
893,1189,7
894,1192,1
895,1192,6
896,1192,7
897,1194,1
898,1194,6
899,1194,7
900,1195,1
901,1195,6
902,1195,7
903,1197,1
904,1197,6
905,1198,1
906,1198,6
907,1198,7
908,1199,1
909,1199,6
910,1201,6
911,1201,7
912,1202,1
913,1202,6
914,1202,7
915,1204,1
916,1204,6
